종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
047050,대우인터내셔널,25100,-300.00,-1.18,25200,25100,226768,5714683950,25300,25500,24600,5000,113876291,2.85829E+12
042660,대우조선해양,14350,-300.00,-2.05,14400,14350,1637053,23760712550,14400,14850,14250,5000,191390758,2.74646E+12
006800,대우증권,14200,-200.00,-1.39,14250,14200,1371249,19611490500,14250,14750,14050,5000,326700891,4.63915E+12
003090,대웅,59700,-1500,-2.45,60400,59700,165778,9941523800,61200,61700,59500,2500,11628396,6.94215E+11
069620,대웅제약,93300,1300,1.41,93400,93300,113954,10519820800,92000,94800,90100,2500,11586575,1.08103E+12
000430,대원강업,4900,-50.00,-1.01,4920,4900,42958,209914580,4905,4950,4845,500,62000000,3.038E+11
006340,대원전선,1775,-215.00,-10.80,1775,1770,7775896,14148422900,1970,1995,1700,500,68107171,1.2089E+11
003220,대원제약,21800,150.00,0.69,21800,21750,77716,1679173100,21200,22050,21100,500,17171002,3.74328E+11
024890,대원화성,2945,-125.00,-4.07,2980,2945,389210,1167831725,3070,3105,2945,500,38744488,1.14103E+11
000300,대유신소재,1170,15.00,1.30,1175,1170,291698,336028335,1145,1180,1130,500,88120526,1.03101E+11
002880,대유에이텍,2035,-10.00,-0.49,2035,2030,3387955,6962400975,2005,2145,1980,500,91447161,1.86095E+11
012800,대창,885,2.00,0.23,885,884,224023,196644106,871,887,871,500,91140499,80659341615
015230,대창단조,53700,-1200,-2.19,54300,53700,3807,206176500,53500,54800,53500,5000,2000000,1.074E+11
001070,대한방직,82600,2000,2.48,82800,82600,10001,814193100,80400,83500,79800,5000,1060000,87556000000
006650,대한유화,213500,11000,5.43,213500,213000,67677,14471276000,199000,219500,199000,5000,6500000,1.38775E+12
001440,대한전선,6000,0.00,0.00,0,0,0,0,0,0,0,2500,32707337,1.96244E+11
084010,대한제강,8040,100.00,1.26,8080,8040,120087,967410260,7990,8240,7750,1000,24646734,1.9816E+11
001790,대한제당,28350,-250.00,-0.87,28350,28250,4871,137884700,28600,28600,28150,2500,8840002,2.50614E+11
001130,대한제분,216500,-4500,-2.04,217000,216500,3580,790006500,222000,228500,214500,5000,1690000,3.65885E+11
003490,대한항공,35200,-2300,-6.13,35250,35200,817184,29181075550,36950,36950,35150,5000,72839744,2.56396E+12
005880,대한해운,24000,-100.00,-0.41,24000,23800,71410,1712433800,24100,24600,23650,5000,24416108,5.85987E+11
003830,대한화섬,118000,1000,0.85,120000,118000,489,58873500,118000,122000,117500,5000,1328000,1.56704E+11
016090,대현,3035,-65.00,-2.10,3040,3035,426683,1313070320,3080,3155,3005,500,45282310,1.37432E+11
069460,대호에이엘,1915,-60.00,-3.04,1925,1915,457101,876541190,1975,1975,1880,500,27134839,51963216685
012510,더존비즈온,14100,-650.00,-4.41,14150,14100,781903,11188205350,14650,14750,13950,500,29672700,4.18385E+11
004830,덕성,8290,-680.00,-7.58,8300,8290,412926,3469590200,8600,8890,8090,500,15680000,1.29987E+11
024900,덕양산업,2575,-95.00,-3.56,2575,2560,65710,169845880,2675,2675,2540,500,32564980,83854823500
008000,도레이케미칼,19850,0.00,0.00,19850,19800,25301,502167650,19800,19900,19800,5000,46363851,9.20322E+11
