종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
204440,대우스팩2호,2220,20.00,0.91,2220,2185,32557,71619820,2190,2225,2185,100,5750000,12765000000
215580,대우스팩3호,2200,10.00,0.46,2205,2190,40354,88473705,2215,2215,2180,100,5410000,11902000000
048910,대원미디어,7720,-480.00,-5.85,7760,7720,174203,1376603930,8190,8240,7690,500,10800298,83378300560
005710,대원산업,7870,-180.00,-2.24,7890,7870,10062,79346790,8040,8040,7850,500,18216000,1.4336E+11
120240,대정화금,13900,100.00,0.72,13900,13850,44737,615330250,13700,13950,13550,500,6048727,84077305300
003310,대주산업,1045,-25.00,-2.34,1055,1045,238581,251250985,1070,1080,1040,500,35392350,36985005750
078600,대주전자재료,6680,-90.00,-1.33,6680,6600,13881,90033820,6640,6700,6370,500,9101023,60794833640
065690,대진디엠피,3690,105.00,2.93,3690,3675,185250,688453945,3600,3840,3590,500,12060750,44504167500
096350,대창솔루션,2265,-10.00,-0.44,2265,2260,6352,14322075,2270,2270,2220,500,11200000,25368000000
140520,대창스틸,4230,10.00,0.24,4250,4230,66256,281580390,4230,4390,4100,500,14566000,61614180000
131220,대한과학,6870,-450.00,-6.15,6880,6870,129542,905380950,7250,7380,6800,500,7056878,48480751860
010170,대한광통신,1235,-15.00,-1.20,1240,1235,30672,38055060,1235,1300,1230,500,46962073,57998160155
054670,대한뉴팜,27700,-2000,-6.73,27750,27700,258805,7340297650,29200,29700,27400,500,14354920,3.97631E+11
023910,대한약품,22300,-800.00,-3.46,22450,22300,78025,1738388650,22750,23100,21700,500,6000000,1.338E+11
021040,대호피앤씨,1215,115.00,10.45,1215,1210,1628664,2022626645,1100,1350,1100,500,50112826,60887083590
067080,대화제약,23500,-500.00,-2.08,23500,23450,140503,3368990200,24000,24750,23500,500,18224974,4.28287E+11
213420,덕산네오룩스,18850,500.00,2.72,18950,18850,45811,861374000,18150,19600,17750,200,12007770,2.26346E+11
077360,덕산하이메탈,8290,-390.00,-4.49,8330,8290,156437,1318998630,8650,8720,8210,200,22718501,1.88336E+11
090410,덕신하우징,8090,0.00,0.00,8100,8090,45854,364190260,7970,8150,7670,500,8012000,64817080000
194480,데브시스터즈,32900,900.00,2.81,32900,32850,112213,3661235350,31700,33200,31350,500,10901500,3.58659E+11
017680,데코앤이,1740,-40.00,-2.25,1740,1735,530817,925379260,1760,1835,1705,500,52022176,90518586240
067990,도이치모터스,4615,35.00,0.76,4640,4615,119497,547417295,4500,4675,4500,500,26263308,1.21205E+11
100130,동국S&C,3550,-30.00,-0.84,3585,3550,264554,948799775,3580,3635,3545,500,57143000,2.02858E+11
005160,동국산업,3695,-100.00,-2.64,3695,3690,174939,649778725,3750,3790,3635,1000,50000000,1.8475E+11
075970,동국알앤에스,1795,-85.00,-4.52,1815,1795,122045,223253585,1880,1880,1795,1000,18400000,33028000000
086450,동국제약,56000,-1700,-2.95,56500,56000,69682,3866534800,57400,58500,53600,2500,8892000,4.97952E+11
099410,동방선기,1935,-60.00,-3.01,1955,1935,34148,66623070,1995,2000,1910,500,10963002,21213408870
045890,동부라이텍,1935,165.00,9.32,1940,1935,2301645,4625688470,1840,2225,1790,500,25482194,49308045390
207760,동부스팩2호,2600,0.00,0.00,0,0,0,0,0,0,0,100,5500000,14300000000
026960,동서,29550,-650.00,-2.15,29600,29550,149812,4446140350,30450,30450,29450,500,99700000,2.94614E+12
013450,동성하이켐,6380,-60.00,-0.93,6400,6380,29754,189381840,6390,6440,6310,500,16249822,1.03674E+11
033500,동성화인텍,6090,-820.00,-11.87,6100,6090,617722,3937766130,6830,6840,6000,500,26983609,1.6433E+11
025950,동신건설,7020,480.00,7.34,7020,7010,73751,502798080,6540,7040,6450,500,8400000,58968000000
088130,동아엘텍,13700,-200.00,-1.44,13700,13650,157032,2182528550,13950,14600,13250,500,10820231,1.48237E+11
041930,동아화성,6500,0.00,0.00,6510,6500,21925,141617760,6420,6550,6410,500,15800000,1.027E+11
038500,동양시멘트,6330,-510.00,-7.46,6350,6330,355923,2330045270,6820,6850,6250,500,107357173,6.79571E+11
060380,동양에스텍,3535,-280.00,-7.34,3540,3535,106981,384340470,3700,3830,3420,500,10000000,35350000000
079960,동양이엔피,12150,-50.00,-0.41,12150,12000,16770,201399650,12450,12450,11900,500,7860000,95499000000
104460,동양피엔에프,7330,-350.00,-4.56,7330,7320,119304,895758190,7580,7750,7310,500,10713625,78530871250
088910,동우,4655,-180.00,-3.72,4680,4655,226240,1069221150,4855,4860,4655,500,22860000,1.06413E+11
013120,동원개발,57400,-400.00,-0.69,57500,57400,16361,933671100,58200,58200,56100,5000,9080810,5.21238E+11
109860,동일금속,9300,0.00,0.00,9300,9200,17871,164407910,9400,9400,9000,500,7000000,65100000000
032960,동일기연,12000,-550.00,-4.38,12000,11800,9035,106876550,12250,12250,11550,500,5597489,67169868000
023790,동일철강,4260,-10.00,-0.23,4260,4180,672,2823695,4270,4310,4175,500,7345085,31290062100
005290,동진쎄미켐,6740,-180.00,-2.60,6740,6730,852585,5746397490,6990,7090,6470,500,45409611,3.06061E+11
025900,동화기업,48800,2000,4.27,48800,48700,68377,3269678950,46850,48850,45900,500,14356756,7.0061E+11
